Z,N,symb, half_life [s], decay, decay %, decay, decay %, decay, decay %,Binding/A
61,84,Pm,558557589.750278,EC,100,A,0.00000028, , ,8302.657
61,85,Pm,174509800.639494,EC,65.7,B-,34.3, , ,8288.654
61,86,Pm,82786439.6017447,B-,100, , , , ,8284.372
61,87,Pm,463795.2,B-,100, , , , ,8268.226
61,88,Pm,191088,B-,100, , , , ,8261.526
61,89,Pm,9712.8,B-,100, , , , ,8243.81
61,90,Pm,102240,B-,100, , , , ,8241.27
61,91,Pm,247.2,B-,100, , , , ,8226.127
61,92,Pm,315,B-,100, , , , ,8221.152
61,93,Pm,160.8,B-,100, , , , ,8206.31
61,94,Pm,41.5,B-,100, , , , ,8195.296
61,95,Pm,26.7,B-,100, , , , ,8176.705
61,96,Pm,10.56,B-,100, , , , ,8164.145
61,97,Pm,4.8,B-,100, , , , ,8143.254
61,98,Pm,1.5,B-,100, , , , ,8126.859
61,99,Pm,0.73,B-,100,B-N, , , ,8104
61,100,Pm,1.05,B-,100,B-N, , , ,8087
61,101,Pm,0.63,B-,100,B-N, , , ,8063
61,102,Pm,0.43,B-,100,B-N, , , ,8044
62,67,SM,0.55,EC+B+,100,ECP,0, , ,8021
62,69,Sm,1.2,EC+B+,100,ECP,0, , ,8084
62,70,Sm,4,EC+B+,100,ECP, , , ,8121
62,71,Sm,2.89,EC+B+,100,ECP,0, , ,8137
62,72,Sm,9.5,EC+B+,100, , , , ,8167
62,73,Sm,10.3,EC+B+,100,ECP,0.02, , ,8177.626
62,74,Sm,47,EC+B+,100, , , , ,8205.916
62,75,Sm,45,EC+B+,100, , , , ,8213.806
62,76,Sm,186,EC+B+,100, , , , ,8237.928
62,77,Sm,154.2,EC+B+,100, , , , ,8243.078
62,78,Sm,889.2,EC+B+,100, , , , ,8263.82
62,79,Sm,612,EC+B+,100, , , , ,8265.845
62,80,Sm,4349.4,EC+B+,100, , , , ,8285.972
62,81,Sm,525,EC+B+,100, , , , ,8288.182
62,82,Sm, , , , , , , ,8303.679
62,83,Sm,29376000,EC,100, , , , ,8293.013
62,84,Sm,2145870966272256,A,100, , , , ,8293.857
62,85,Sm,3.34503415330675E+018,A,100, , , , ,8280.575
62,86,Sm,2.20898481822144E+023,A,100, , , , ,8279.633
62,87,Sm, , , , , , , ,8263.466
62,88,Sm, , , , , , , ,8261.621
62,89,Sm,2840123337.71328,B-,100, , , , ,8243.971
62,90,Sm, , , , , , , ,8244.061
62,91,Sm,166622.4,B-,100, , , , ,8228.534
62,92,Sm, , , , , , , ,8226.835
62,93,Sm,1338,B-,100, , , , ,8211.223
62,94,Sm,33840,B-,100, , , , ,8205.003
62,95,Sm,481.8,B-,100, , , , ,8187.063
62,96,Sm,318,B-,100, , , , ,8177.297
62,97,Sm,11.37,B-,100, , , , ,8157.495
62,98,Sm,9.6,B-,100, , , , ,8144.625
62,99,Sm,4.8,B-,100, , , , ,8122.041
62,100,Sm,2.4,B-,100, , , , ,8109
62,101,Sm,1.23,B-,100,B-N, , , ,8085
62,102,Sm,1.43,B-,100,B-N, , , ,8069
62,103,Sm,0.98,B-,100,B-N, , , ,8043
62,104,Sm,0.8,B-,100,B-N, , , ,8024
63,67,EU,0.0009,P,100, , , , ,7951
63,68,Eu,0.0178,P,89,EC+B+,11, , ,7995
63,71,Eu,0.5,EC+B+,100,ECP,0, , ,8076
63,72,Eu,1.5,EC+B+,100,ECP, , , ,8107
63,73,Eu,3.3,EC+B+,100,B+P,0.09, , ,8122
63,74,Eu,11,EC+B+,100, , , , ,8150.573
63,75,Eu,12.1,EC+B+,100, , , , ,8161.62
63,76,Eu,17.9,EC+B+,100, , , , ,8187.218
63,77,Eu,1.51,EC+B+,100, , , , ,8197.732
63,78,Eu,40.7,EC+B+,100, , , , ,8217.684
63,79,Eu,2.34,EC+B+,100, , , , ,8226.427
63,80,Eu,155.4,EC+B+,100, , , , ,8245.817
63,81,Eu,10.2,EC+B+,100, , , , ,8254.173
63,82,Eu,512352,EC+B+,100, , , , ,8269.274
63,83,Eu,398304,EC+B+,100, , , , ,8261.932
63,84,Eu,2082240,EC,99.9978,A,0.0022, , ,8263.541
63,85,Eu,4708800,EC+B+,100,A,0.00000094, , ,8253.827
63,86,Eu,8043840,EC,100, , , , ,8253.554
63,87,Eu,1164450568.46244,EC+B+,100, , , , ,8241.346
63,88,Eu,5.36467741568064E+025,A, , , , , ,8239.297
63,89,Eu,426554968.39856,EC+B+,72.08,B-,27.92, , ,8226.583
63,90,Eu, , , , , , , ,8228.699
63,91,Eu,271421120.307466,B-,99.982,EC+B+,0.018, , ,8217.098
63,92,Eu,149990069.157236,B-,100, , , , ,8216.674
63,93,Eu,1312416,B-,100, , , , ,8204.617
63,94,Eu,54648,B-,100, , , , ,8199.795
63,95,Eu,2754,B-,100, , , , ,8185.035
63,96,Eu,1086,B-,100, , , , ,8176.697
63,97,Eu,38,B-,100, , , , ,8160.021
63,98,Eu,26,B-,100, , , , ,8148.98
63,99,Eu,10.6,B-,100, , , , ,8129.438
63,100,EU,7.7,B-,100, , , , ,8115.471
63,101,Eu,4.15,B-,100, , , , ,8096
63,102,Eu,2.3,B-,100, , , , ,8080
63,103,Eu,1.7,B-,100,B-N, , , ,8059
63,104,Eu,1.3,B-,100,B-N, , , ,8040
63,105,Eu,0.2,B-,100,B-N, , , ,8014
64,71,Gd,1.1,EC+B+,100,ECP,18, , ,8029
64,72,Gd,0.0000002,B+, , , , , ,8064
64,73,Gd,2.2,EC+B+,100,ECP, , , ,8080
64,74,Gd,4.7,EC+B+,100, , , , ,8113
64,75,Gd,5.8,EC+B+,100,ECP,0, , ,8126
64,76,Gd,15.8,EC+B+,100, , , , ,8154.975
64,77,Gd,14,EC+B+,100,B+P,0.03, , ,8164.608
64,78,Gd,70.2,EC+B+,100, , , , ,8190.256
64,79,Gd,39,EC+B+,100, , , , ,8198.318
64,80,Gd,268.2,EC+B+,100, , , , ,8221.937
64,81,Gd,1380,EC+B+,100, , , , ,8228.946
64,82,Gd,4170528,EC+B+,100, , , , ,8249.506
64,83,Gd,137016,EC+B+,100, , , , ,8243.336
64,84,Gd,2243697436.79349,A,100, , , , ,8248.338
64,85,Gd,801792,EC+B+,100,A,0.00043, , ,8239.484
64,86,Gd,56486897494519.7,A,100, , , , ,8242.609
64,87,Gd,10704960,EC,100,A,0.0000008, , ,8231.043
64,88,Gd,3.40814800525594E+021,A,100, , , , ,8233.401
64,89,Gd,20770560,EC,100, , , , ,8220.418
64,90,Gd, , , , , , , ,8224.796
64,91,Gd, , , , , , , ,8213.251
64,92,Gd, , , , , , , ,8215.322
64,93,Gd, , , , , , , ,8203.504
64,94,Gd, , , , , , , ,8201.819
64,95,Gd,66524.4,B-,100, , , , ,8187.614
64,96,Gd, , , , , , , ,8183.014
64,97,Gd,219.6,B-,100, , , , ,8167.191
64,98,Gd,504,B-,100, , , , ,8159.035
64,99,Gd,68,B-,100, , , , ,8140.297
64,100,Gd,45,B-,100, , , , ,8130
64,101,Gd,10.3,B-,100, , , , ,8110
64,102,GD,4.8,B-,100, , , , ,8098
64,103,Gd,4.26,B-,100, , , , ,8076
64,104,Gd,3.03,B-,100, , , , ,8061
64,105,Gd,0.75,B-,100,B-N, , , ,8036
64,106,Gd,0.41,B-,100,B-N, , , ,8020
65,70,TB,0.00094,P,100,EC+B+, , , ,7938
65,73,Tb,0.0000002,EC+B+,100, , , , ,8019
65,74,Tb,1.6,EC+B+,0,ECP, ,P, ,8052
65,75,Tb,2.4,EC+B+,100,ECP,0.26, , ,8068.672
65,76,Tb,3.5,EC+B+,100, , , , ,8097.475
65,77,Tb,0.597,EC+B+,100,B+P,0.0022, , ,8111.507
65,78,Tb,12,EC+B+,100, , , , ,8138.217
65,79,Tb,1,EC+B+,100, , , , ,8151.287
65,80,Tb, , , , , , , ,8178.461
65,81,Tb,8,EC+B+,100, , , , ,8187.146
65,82,Tb,5904,EC+B+,100, , , , ,8206.624
65,83,Tb,3600,EC+B+,100, , , , ,8204.321
65,84,Tb,14824.8,EC+B+,83.3,A,16.7, , ,8209.815
65,85,Tb,12528,EC+B+,100,A,0.05, , ,8206.338
65,86,Tb,63392.4,EC+B+,99.9905,A,0.0095, , ,8208.873
65,87,Tb,63000,EC+B+,100,A,0.0000007, , ,8202.004
65,88,Tb,202176,EC+B+,100, , , , ,8205.048
65,89,Tb,77400,EC+B+,100,B-,0.1, , ,8196.666
65,90,Tb,459648,EC,100, , , , ,8202.914
65,91,Tb,462240,EC+B+,100, , , , ,8194.639
65,92,Tb,2240541744.19603,EC,100, , , , ,8198.138
65,93,Tb,5680246675.42656,EC+B+,83.4,B-,16.6, , ,8189.153
65,94,Tb, , , , , , , ,8188.8
65,95,Tb,6246720,B-,100, , , , ,8177.465
65,96,Tb,595296,B-,100, , , , ,8174.479
65,97,Tb,456,B-,100, , , , ,8162.82
65,98,Tb,1170,B-,100, , , , ,8155.633
65,99,Tb,180,B-,100, , , , ,8139.765
65,100,Tb,126.6,B-,100, , , , ,8130
65,101,Tb,25.1,B-,100, , , , ,8113.68
65,102,Tb,19.4,B-,100, , , , ,8102
65,103,Tb,8.2,B-,100, , , , ,8082
65,104,Tb,5.1,B-,100,B-N, , , ,8068
65,105,Tb,0.96,B-,100,B-N, , , ,8047
65,106,Tb,1.24,B-,100,B-N, , , ,8031
65,107,Tb,0.76,B-,100,B-N, , , ,8007
66,73,Dy,0.6,EC+B+,100,ECP,11, , ,7971
66,74,DY, ,EC+B+, , , , , ,8008
66,75,Dy,0.9,EC+B+,100,B+P, , , ,8027
66,76,Dy,2.3,EC+B+,100,ECP,0.06, , ,8061
66,77,Dy,5.6,EC+B+,100,ECP, , , ,8075.052
66,78,Dy,9.1,EC+B+,100,ECP, , , ,8105.589
66,79,Dy,6,EC+B+,100,ECP,50, , ,8116.888
66,80,Dy,33.2,EC+B+,100, , , , ,8146.112
66,81,Dy,67,EC+B+,100,B+P,0.05, , ,8156.767
66,82,Dy,198,EC+B+,100, , , , ,8180.943
66,83,Dy,252,EC+B+,100, , , , ,8179.109
66,84,Dy,430.2,EC+B+,64,A,36, , ,8189.149
66,85,Dy,1074,EC+B+,94.4,A,5.6, , ,8184.678
66,86,Dy,8568,EC+B+,99.9,A,0.1, , ,8192.916
66,87,Dy,23040,EC+B+,99.9906,A,0.0094, , ,8185.749
66,88,Dy,94670777923776,A,100, , , , ,8193.129
66,89,Dy,35640,EC+B+,100, , , , ,8184.354
66,90,Dy, ,2EC, , , , , ,8192.433
66,91,Dy,29304,EC+B+,100, , , , ,8184.627
66,92,Dy, , , , , , , ,8190.13
66,93,Dy,12476160,EC,100, , , , ,8181.583
66,94,Dy, , , , , , , ,8184.054
66,95,Dy, ,A, , , , , ,8173.31
66,96,Dy, , , , , , , ,8173.457
66,97,Dy, ,B-,100, , , , ,8161.785
66,98,Dy, , , , , , , ,8158.714
66,99,Dy,8402.4,B-,100, , , , ,8143.909
66,100,Dy,293760,B-,100, , , , ,8137.28
66,101,Dy,372,B-,100, , , , ,8120.992
66,102,Dy,522,B-,100, , , , ,8112.536
66,103,Dy,39,B-,100, , , , ,8094.763
66,105,Dy,4.1,B-,100, , , , ,8063
66,106,Dy,0.00000016,B-, , , , , ,8050
66,107,Dy,1.43,B-,100, , , , ,8027
66,108,Dy,0.00000016,B-, , , , , ,8012
67,73,Ho,0.006,P,100, , , , ,7906
67,74,Ho,0.0041,P,100, , , , ,7943
67,75,Ho,0.4,EC+B+,100,P,0,ECP,0,7965
67,77,Ho,0.7,EC+B+,100,ECP, , , ,8017.097
67,78,Ho,2.4,EC+B+,100, , , , ,8048.578
67,79,Ho,3.32,EC+B+,100,ECP, , , ,8063.242
67,80,Ho,5.8,EC+B+,100, , , , ,8094.037
67,81,Ho,2.2,EC+B+,100, , , , ,8108.979
67,82,Ho,21.1,EC+B+,100, , , , ,8133.259
67,83,Ho,72,EC+B+,100, , , , ,8134.842
67,84,Ho,35.2,EC+B+,78,A,22, , ,8145.526
67,85,Ho,161.8,EC+B+,88,A,12, , ,8144.919
67,86,Ho,120.6,EC+B+,99.949,A,0.051, , ,8153.637
67,87,Ho,705.6,EC+B+,99.981,A,0.019, , ,8150.681
67,88,Ho,2880,EC+B+,100, , , , ,8159.203
67,89,Ho,3360,EC+B+,100, , , , ,8155.046
67,90,Ho,756,EC+B+,100, , , , ,8163.136
67,91,Ho,678,EC+B+,100, , , , ,8158.471
67,92,Ho,1983,EC+B+,100, , , , ,8165.105
67,93,Ho,1536,EC+B+,100, , , , ,8158.602
67,94,Ho,8928,EC,100, , , , ,8163.119
67,95,Ho,900,EC+B+,100, , , , ,8155.418
67,96,Ho,144215151703.885,EC,100, , , , ,8156.968
67,97,Ho,1728,EC+B+,60,B-,40, , ,8147.929
67,98,Ho, , , , , , , ,8146.964
67,99,Ho,96566.4,B-,100, , , , ,8135.499
67,100,Ho,11160,B-,100, , , , ,8130.379
67,101,Ho,179.4,B-,100, , , , ,8116.817
67,102,Ho,283.2,B-,100, , , , ,8109.068
67,103,Ho,165.6,B-,100, , , , ,8093.796
67,104,Ho,53,B-,100, , , , ,8083.608
67,105,Ho,25,B-,100, , , , ,8066
67,106,Ho,6.9,B-,100, , , , ,8054
67,107,Ho,3.2,B-,100,B-N, , , ,8033
67,108,Ho,1.9,B-,100,B-N, , , ,8019
67,109,Ho,0.00000016,B-, ,B-N, , , ,7997
68,76,Er,0.0000002,EC+B+,100, , , , ,7956
68,77,Er, , , , , , , ,7975
68,78,Er,1.7,EC+B+,100, , , , ,8010.512
68,79,Er,2.5,EC+B+,100,B+P,0, , ,8026.475
68,80,Er,4.6,EC+B+,100,ECP,0.15, , ,8059.692
68,81,Er,4,EC+B+,100,ECP,7, , ,8074.955
68,82,Er,18.5,EC+B+,100, , , , ,8102.195
68,83,Er,23.5,EC+B+,100, , , , ,8104.872
68,84,Er,10.3,A,90,EC+B+,10, , ,8119.349
68,85,Er,37.1,A,53,EC+B+,47, , ,8118.827
68,86,Er,223.8,EC+B+,99.53,A,0.47, , ,8132.392
68,87,Er,318,EC+B+,99.978,A,0.022, , ,8129.444
68,88,Er,1170,EC+B+,100,A,0.000017, , ,8141.908
68,89,Er,1119,EC+B+,100, , , , ,8136.375
68,90,Er,8244,EC,100, , , , ,8147.926
68,91,Er,2160,EC+B+,100, , , , ,8142.773
68,92,Er,102888,EC,100, , , , ,8151.721
68,93,Er,11556,EC+B+,100, , , , ,8145.864
68,94,Er, , , , , , , ,8152.397
68,95,Er,4500,EC+B+,100, , , , ,8144.741
68,96,Er, , , , , , , ,8149.02
68,97,Er,37296,EC,100, , , , ,8139.936
68,98,Er, , , , , , , ,8141.959
68,99,Er, , , , , , , ,8131.746
68,100,Er, , , , , , , ,8129.601
68,101,Er,811468.8,B-,100, , , , ,8117.019
68,102,Er, , , , , , , ,8111.959
68,103,Er,27057.6,B-,100, , , , ,8097.746
68,104,Er,177480,B-,100, , , , ,8090.41
68,105,Er,84,B-,100, , , , ,8074
68,106,Er,192,B-,100, , , , ,8064
68,107,Er,72,B-,100, , , , ,8045
68,108,Er,0.00000016,B-, , , , , ,8034
68,109,Er,0.00000016,B-, , , , , ,8013
68,110,Er,0.00000016,B-, , , , , ,7999
69,75,TM,0.0000019,P,0, , , , ,7851
69,76,Tm,0.00000317,P,100, , , , ,7889
69,77,Tm,0.068,EC+B+, ,P, , , ,7914
69,78,Tm,0.58,EC+B+,85,P,15, , ,7948.817
69,79,Tm,0.7,EC+B+,100, , , , ,7968.5
69,80,Tm,0.9,EC+B+,100,ECP,0.2, , ,8004
69,81,Tm,2.2,EC+B+,100,ECP,1.2, , ,8021
69,82,Tm,4.17,EC+B+,100, , , , ,8050.064
69,83,Tm,8,EC+B+,100, , , , ,8056.438
69,84,Tm,1.48,A,91,EC+B+,9, , ,8071.261
69,85,Tm,8.1,A,54,EC+B+,46, , ,8074.208
69,86,Tm,21.6,EC+B+,99.11,A,0.89, , ,8088.375
69,87,Tm,83.8,EC+B+,99.936,A,0.064, , ,8089.603
69,88,Tm,217.8,EC+B+,100, , , , ,8101.428
69,89,Tm,238.8,EC+B+,100, , , , ,8101.199
69,90,Tm,547.8,EC+B+,100, , , , ,8112.754
69,91,Tm,564,EC+B+,100, , , , ,8110.818
69,92,Tm,1812,EC+B+,100, , , , ,8120.49
69,93,Tm,1302,EC+B+,100, , , , ,8117.588
69,94,Tm,6516,EC+B+,100, , , , ,8124.979
69,95,Tm,117,EC+B+,100,B+,39, , ,8119.623
69,96,Tm,108216,EC+B+,100, , , , ,8125.546
69,97,Tm,27720,EC+B+,100, , , , ,8118.946
69,98,Tm,799200,EC,100, , , , ,8122.585
69,99,Tm,8043840,EC+B+,99.99,B-,0.01, , ,8114.954
69,100,Tm, , , , , , , ,8114.473
69,101,Tm,11111040,B-,99.869,EC,0.131, , ,8105.517
69,102,Tm,60589297.8712166,B-,100, , , , ,8101.893
69,103,Tm,228960,B-,100, , , , ,8091.041
69,104,Tm,29664,B-,100, , , , ,8084.463
69,105,Tm,324,B-,100, , , , ,8070.642
69,106,Tm,912,B-,100, , , , ,8061.766
69,107,Tm,114,B-,100, , , , ,8045.121
69,108,Tm,90,B-,100, , , , ,8035
69,109,TM,0.0000003,B-, , , , , ,8016
69,110,Tm,0.00000016,B-, , , , , ,8002
69,111,Tm,0.0000003,B-,100, , , , ,7982
69,112,Tm,0.00000016,B-N, ,B-, , , ,7967
70,79,Yb,0.7,ECP,100,EC+B+,100, , ,7927
70,80,Yb,0.0000002,B+, , , , , ,7964
70,81,Yb,1.6,EC+B+,100, , , , ,7983.755
70,82,Yb,3.03,EC+B+,100,B+P, , , ,8015.436
70,83,Yb,4.2,A,60,EC+B+,40,B+P,0.008,8022
70,84,Yb,0.409,A,92.6,EC+B+,7.4, , ,8039.939
70,85,Yb,1.793,A,89,EC+B+,11, , ,8043.823
70,86,Yb,26.1,EC+B+,90,A,10, , ,8061.711
70,87,Yb,38.6,EC+B+,99.5,A,0.5, , ,8062.767
70,88,Yb,89.4,EC+B+,100,A,0.0021, , ,8079.203
70,89,Yb,100.2,EC+B+,100, , , , ,8078.074
70,90,Yb,288,EC+B+,100, , , , ,8092.557
70,91,Yb,252,EC+B+,100, , , , ,8090.417
70,92,Yb,1132.2,EC+B+,100, , , , ,8102.565
70,93,Yb,663,EC+B+,100, , , , ,8099.138
70,94,Yb,4548,EC,100, , , , ,8109.446
70,95,Yb,594,EC+B+,100, , , , ,8104.839
70,96,Yb,204120,EC,100, , , , ,8112.471
70,97,Yb,1050,EC+B+,100, , , , ,8106.205
70,98,Yb, , , , , , , ,8111.898
70,99,Yb,2766355.2,EC,100, , , , ,8104.532
70,100,Yb, , , , , , , ,8106.609
70,101,Yb, , , , , , , ,8097.882
70,102,Yb, , , , , , , ,8097.429
70,103,Yb, , , , , , , ,8087.427
70,104,Yb, , , , , , , ,8083.847
70,105,Yb,361584,B-,100, , , , ,8070.925
70,106,Yb, , , , , , , ,8064.085
70,107,Yb,6879.6,B-,100, , , , ,8049.973
70,108,Yb,4440,B-,100, , , , ,8042.841
70,109,Yb,480,B-,100, , , , ,8025
70,110,Yb,144,B-,100, , , , ,8015
70,111,YB,0.00000016,B-, , , , , ,7996
70,112,Yb,0.00000016,B-, , , , , ,7984
70,113,Yb,0.000000222,B-,100, , , , ,7964
70,114,Yb,0.00000016,B-, , , , , ,7951
70,115,Yb,0.00000016,B-, , , , , ,7929
71,79,Lu,0.045,P,70.9,EC+B+,29.1, , ,7865
71,80,Lu,0.0806,P,63.4,EC+B+,36.6, , ,7903
71,81,Lu,0.7,EC+B+,100,B+P,15, , ,7926
71,82,Lu,0.9,A,70,EC+B+,30, , ,7959.07
71,83,Lu, , , , , , , ,7969
71,84,Lu,0.068,A,90,EC+B+,10, , ,7987.436
71,85,Lu,0.494,A,95,EC+B+,5, , ,7995.374
71,86,Lu,6.8,A,0, , , , ,8013.317
71,87,Lu,10.6,EC+B+,99.09,A,0.91, , ,8018.568
71,88,Lu,12.1,EC+B+,100,A,0.1, , ,8034.6
71,89,Lu,36.1,EC+B+,100,A,0.0001, , ,8038.338
71,90,Lu,77,EC+B+,100, , , , ,8052.781
71,91,Lu,82.2,EC+B+,100, , , , ,8054.559
71,92,Lu,238.2,EC+B+,100, , , , ,8066.684
71,93,Lu,188.4,EC+B+,100, , , , ,8065.804
71,94,Lu,644.4,EC+B+,100, , , , ,8076.745
71,95,Lu,159,EC+B+,100, , , , ,8074.175
71,96,Lu,3090,EC+B+,100, , , , ,8083.021
71,97,Lu,330,EC+B+,100, , , , ,8080.372
71,98,Lu,122616,EC+B+,100, , , , ,8086.335
71,99,Lu,173836.8,EC+B+,100, , , , ,8081.668
71,100,Lu,711936,EC+B+,100, , , , ,8084.661
71,101,Lu,578880,EC+B+,100, , , , ,8078.232
71,102,Lu,43232988.585191,EC,100, , , , ,8079.03
71,103,Lu,104453424.9759,EC+B+,100, , , , ,8071.453
71,104,Lu, , , , , , , ,8069.14
71,105,Lu,1.18654041664466E+018,B-,100, , , , ,8059.02
71,106,Lu,574300.8,B-,100, , , , ,8053.448
71,107,Lu,1704,B-,100, , , , ,8042.054
71,108,Lu,16524,B-,100, , , , ,8035.073
71,109,Lu,342,B-,100, , , , ,8022.038
71,110,Lu,210,B-,100, , , , ,8011.929
71,111,Lu,120,B-,100, , , , ,7996
71,112,Lu,58,B-,100, , , , ,7984.812
71,113,Lu,19,B-,100, , , , ,7967
71,114,Lu,0.00000016,B-, , , , , ,7954
71,115,Lu,0.00000016,B-, , , , , ,7935
71,116,Lu,0.00000016,B-, ,B-N, , , ,7922
71,117,Lu,0.00000016,B-N, ,B-, , , ,7902
72,81,Hf,0.00000006,B+, , , , , ,7882
72,82,Hf,2,EC+B+,100,A,0, , ,7918
72,83,Hf,0.89,EC+B+,100, , , , ,7928
72,84,Hf,0.023,A,100, , , , ,7952.65
72,85,Hf,0.115,A,94,EC+B+,14, , ,7960
72,86,Hf,2.85,EC+B+,55.7,A,44.3, , ,7981.276
72,87,Hf,5.6,EC+B+,65,A,35, , ,7986.56
72,88,Hf,13.6,EC+B+,99.3,A,0.7, , ,8006.38
72,89,Hf,18.4,EC+B+,99.87,A,0.13, , ,8009.117
72,90,Hf,39.4,EC+B+,99.992,A,0.008, , ,8027.12
72,91,Hf,40,EC+B+,100,A,0.0001, , ,8027.972
72,92,Hf,111,EC+B+,100, , , , ,8043.814
72,93,Hf,76,EC+B+,100, , , , ,8042.872
72,94,Hf,406.2,EC+B+,100, , , , ,8056.438
72,95,Hf,123,EC+B+,100, , , , ,8054.184
72,96,Hf,1557,EC+B+,100, , , , ,8065.553
72,97,Hf,194.4,EC+B+,100, , , , ,8061.778
72,98,Hf,57636,EC,100, , , , ,8070.875
72,99,Hf,43560,EC+B+,100, , , , ,8066.068
72,100,Hf,59011451.572487,EC,100, , , , ,8071.743
72,101,Hf,84960,EC+B+,100, , , , ,8066.016
72,102,Hf,6.3113851949184E+022,A,100, , , , ,8068.533
72,103,Hf,6048000,EC,100, , , , ,8060.761
72,104,Hf, , , , , , , ,8061.359
72,105,Hf, , , , , , , ,8051.835
72,106,Hf, , , , , , , ,8049.442
72,107,Hf, , , , , , , ,8038.546
72,108,Hf, , , , , , , ,8034.93
72,109,Hf,3662496,B-,100, , , , ,8022.002
72,110,Hf,280856641173869,B-,100, , , , ,8014.837
72,111,Hf,3664.8,B-,100, , , , ,8000.027
72,112,Hf,14832,B-,100, , , , ,7990.722
72,113,Hf,210,B-,100, , , , ,7973.97
72,114,Hf,156,B-,100, , , , ,7964.302
72,118,Hf,0.00000016,B-, , , , , ,7907
73,82,Ta,0.0029,P,100, , , , ,7857
73,83,Ta,0.106,P,71,EC+B+,29, , ,7871
73,84,Ta,0.0101,A,96.6,P,3.4, , ,7896.043
73,85,Ta,0.055,A,91,EC+B+,9, , ,7907
73,86,Ta,0.83,EC+B+,66,A,34, , ,7928.725
73,87,Ta,1.55,EC+B+,66,A,34, , ,7938.27
73,88,Ta, ,EC+B+, ,A, , , ,7957.452
73,89,Ta,3.57,EC+B+,99.926,A,0.074,ECP, ,7964.335
73,90,Ta,10.6,EC+B+,99.8,A,0.2, , ,7981.89
73,91,Ta,14.2,EC+B+,100,A, , , ,7986.997
73,92,Ta,31,EC+B+,100, , , , ,8003.054
73,93,Ta,34.4,EC+B+,100, , , , ,8004.971
73,94,Ta,80,EC+B+,100, , , , ,8018.861
73,95,Ta,120,EC+B+,100, , , , ,8019.428
73,96,Ta,294,EC+B+,100, , , , ,8030.957
73,97,Ta,405.6,EC+B+,100, , , , ,8030.296
73,98,Ta,1398,EC+B+,100, , , , ,8039.791
73,99,Ta,2208,EC+B+,100, , , , ,8037.705
73,100,Ta,11304,EC+B+,100, , , , ,8044.064
73,101,Ta,4104,EC+B+,100, , , , ,8040.452
73,102,Ta,37800,EC+B+,100, , , , ,8044.445
73,103,Ta,29124,EC+B+,100, , , , ,8038.67
73,104,Ta,203616,EC+B+,100, , , , ,8040.827
73,105,Ta,8496,EC+B+,100, , , , ,8035
73,106,Ta,57433605.2737574,EC,100, , , , ,8033.585
73,107,Ta,29354.4,EC,85,B-,15, , ,8025.881
73,108,Ta, , , , , , , ,8023.4
73,109,Ta,9913536,B-,100, , , , ,8012.628
73,110,Ta,440640,B-,100, , , , ,8006.735
73,111,Ta,31320,B-,100, , , , ,7993.752
73,112,Ta,2964,B-,100, , , , ,7986.36
73,113,Ta,630,B-,100, , , , ,7971.835
73,115,Ta, ,B-, , , , , ,7946.321
73,116,Ta, ,B-,100, , , , ,7938
73,117,TA,5.3,B-,100, , , , ,7921
73,118,TA,0.0000003,B-, , , , , ,7911
73,119,TA,2.2,B-,100, , , , ,7894
73,121,Ta,0.00000016,B-, ,B-N, , , ,7866
74,83,W,0.275,EC, , , , , ,7827
74,84,W,0.00125,A,100, , , , ,7854
74,85,W,0.0073,A,99.9,EC+B+,0.1, , ,7866
74,86,W,0.091,A,87, , , , ,7892.772
74,87,W,0.409,A,73,EC+B+,27, , ,7902
74,88,W,1.19,EC+B+,54.8,A,45.2, , ,7923.821
74,89,W,2.67,EC+B+,86,A,14, , ,7930.302
74,90,W,6.3,EC+B+,96.2,A,3.8, , ,7951.452
74,91,W,5.1,EC+B+,99.8,A,0.2, , ,7955.968
74,92,W,19.2,EC+B+,99.965,A,0.035, , ,7974.898
74,93,W,19.9,EC+B+,99.96,A,0.04, , ,7976.733
74,94,W,50.9,EC+B+,100,A,0.0032, , ,7993.933
74,95,W,74,EC+B+,100, , , , ,7994.537
74,96,W,145.2,EC+B+,100, , , , ,8008.948
74,97,W,142.8,EC+B+,100, , , , ,8008.115
74,98,W,396,EC+B+,100, , , , ,8020.175
74,99,W,456,EC+B+,100, , , , ,8018.333
74,100,W,1992,EC+B+,100, , , , ,8027.256
74,101,W,2112,EC+B+,100, , , , ,8024.112
74,102,W,9000,EC,100, , , , ,8030.112
74,103,W,7920,EC+B+,100, , , , ,8025.035
74,104,W,1866240,EC,100, , , , ,8029.257
74,105,W,2223,EC+B+,100, , , , ,8023.281
74,106,W,5.68024667542656E+025,A,100, , , , ,8025.442
74,107,W,10471680,EC,100, , , , ,8017.948
74,108,W, , , , , , , ,8018.308
74,109,W,2.11431404029766E+028,A, , , , , ,8008.322
74,110,W, , , , , , , ,8005.077
74,111,W,6488640,B-,100, , , , ,7992.907
74,112,W, , , , , , , ,7988.601
74,113,W,86400,B-,100, , , , ,7975.116
74,114,W,6028992,B-,100, , , , ,7969.052
74,115,W,696,B-,100, , , , ,7953.454
74,116,W,1800,B-,100, , , , ,7947.573
74,120,W,0.0000003,B-, , , , , ,7899
74,121,W,0.00000016,B-, , , , , ,7882
74,122,W,0.00000016,B-, , , , , ,7872
74,123,W,0.00000016,B-, , , , , ,7854
